from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
80416,80416,2023-06-13_13112-3_0,2023-06-13_13112-3_1,1
80416,80416,2023-06-13_31112-3_0,2023-06-13_31112-3_1,1
80416,80416,2023-06-13_35104-5_0,2023-06-13_35104-5_1,1
80416,80416,2023-06-13_35170-1_0,2023-06-13_35170-1_1,1
80416,80416,2023-06-13_3560-1_0,2023-06-13_3560-1_1,1
80416,80416,2023-06-13_53104-5_0,2023-06-13_53104-5_1,1
80416,80416,2023-06-13_53170-1_0,2023-06-13_53170-1_1,1
80416,80416,2023-06-13_5360-1_0,2023-06-13_5360-1_1,1
24638,24638,2023-06-14_1002-3_0,2023-06-14_1002-3_1,1
24638,24638,2023-06-14_1102-3_0,2023-06-14_1102-3_1,1
80416,80416,2023-06-14_13112-3_0,2023-06-14_13112-3_1,1
80416,80416,2023-06-14_31112-3_0,2023-06-14_31112-3_1,1
80416,80416,2023-06-14_35104-5_0,2023-06-14_35104-5_1,1
80416,80416,2023-06-14_35170-1_0,2023-06-14_35170-1_1,1
80416,80416,2023-06-14_3560-1_0,2023-06-14_3560-1_1,1
80416,80416,2023-06-14_53104-5_0,2023-06-14_53104-5_1,1
80416,80416,2023-06-14_53170-1_0,2023-06-14_53170-1_1,1
80416,80416,2023-06-14_5360-1_0,2023-06-14_5360-1_1,1
24638,24638,2023-06-15_1102-3_0,2023-06-15_1102-3_1,1
80416,80416,2023-06-15_13112-3_0,2023-06-15_13112-3_1,1
80416,80416,2023-06-15_31112-3_0,2023-06-15_31112-3_1,1
80416,80416,2023-06-15_35104-5_0,2023-06-15_35104-5_1,1
80416,80416,2023-06-15_35170-1_0,2023-06-15_35170-1_1,1
80416,80416,2023-06-15_3560-1_0,2023-06-15_3560-1_1,1
80416,80416,2023-06-15_53104-5_0,2023-06-15_53104-5_1,1
80416,80416,2023-06-15_53170-1_0,2023-06-15_53170-1_1,1
80416,80416,2023-06-15_5360-1_0,2023-06-15_5360-1_1,1
80416,80416,2023-06-16_13112-3_0,2023-06-16_13112-3_1,1
80416,80416,2023-06-16_31112-3_0,2023-06-16_31112-3_1,1
80416,80416,2023-06-16_35104-5_0,2023-06-16_35104-5_1,1
80416,80416,2023-06-16_35170-1_0,2023-06-16_35170-1_1,1
80416,80416,2023-06-16_3560-1_0,2023-06-16_3560-1_1,1
80416,80416,2023-06-16_53104-5_0,2023-06-16_53104-5_1,1
80416,80416,2023-06-16_53170-1_0,2023-06-16_53170-1_1,1
80416,80416,2023-06-16_5360-1_0,2023-06-16_5360-1_1,1
80416,80416,2023-06-17_13112-3_0,2023-06-17_13112-3_1,1
80416,80416,2023-06-17_31112-3_0,2023-06-17_31112-3_1,1
80416,80416,2023-06-17_35104-5_0,2023-06-17_35104-5_1,1
80416,80416,2023-06-17_35170-1_0,2023-06-17_35170-1_1,1
80416,80416,2023-06-17_3560-1_0,2023-06-17_3560-1_1,1
80416,80416,2023-06-17_53104-5_0,2023-06-17_53104-5_1,1
80416,80416,2023-06-17_53170-1_0,2023-06-17_53170-1_1,1
80416,80416,2023-06-17_5360-1_0,2023-06-17_5360-1_1,1
80416,80416,2023-06-18_13112-3_0,2023-06-18_13112-3_1,1
80416,80416,2023-06-18_31112-3_0,2023-06-18_31112-3_1,1
80416,80416,2023-06-18_35104-5_0,2023-06-18_35104-5_1,1
80416,80416,2023-06-18_35170-1_0,2023-06-18_35170-1_1,1
80416,80416,2023-06-18_3560-1_0,2023-06-18_3560-1_1,1
80416,80416,2023-06-18_53104-5_0,2023-06-18_53104-5_1,1
